source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,employee_csg_crds_monthly_eur,employee_old_age_monthly_eur,employee_retirement_complementary_ceg_cet_monthly_eur,employee_other_monthly_eur,employer_old_age_monthly_eur,employer_retirement_complementary_ceg_cet_monthly_eur,employer_health_monthly_eur,employer_family_monthly_eur,employer_unemployment_monthly_eur,employer_ags_monthly_eur,employer_atmp_monthly_eur,employer_fnal_monthly_eur,employer_csa_monthly_eur,employer_training_monthly_eur,employer_apprenticeship_tax_monthly_eur,employer_social_dialogue_monthly_eur,employer_other_monthly_eur,employer_contributions_before_relief_monthly_eur,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.8,1493.62,1160.41,1559.71,333.21,66.09,399.31,0.2231,0.0443,0.256,1.3441,594.61,0.3981,0.3812,144.29,109.03,59.89,20.0,159.22,89.77,194.17,78.42,63.48,3.73,31.07,1.49,4.48,8.21,10.16,0.24,16.27,660.7,399.31,66.09,333.21,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.81,1512.29,1175.18,1578.96,337.11,66.67,403.77,0.2229,0.0441,0.2557,1.3436,602.04,0.3981,0.3813,146.07,110.4,60.64,20.0,161.21,90.89,196.6,79.4,64.27,3.78,31.46,1.51,4.54,8.32,10.28,0.24,16.22,668.71,403.77,66.67,337.11,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.82,1530.96,1189.96,1598.21,341.0,67.25,408.24,0.2227,0.0439,0.2554,1.3431,609.48,0.3981,0.3813,147.84,111.76,61.39,20.0,163.2,92.01,199.02,80.38,65.07,3.83,31.84,1.53,4.59,8.42,10.41,0.24,16.17,676.72,408.24,67.25,341.0,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.83,1549.63,1204.74,1617.45,344.89,67.82,412.71,0.2226,0.0438,0.2552,1.3426,616.91,0.3981,0.3814,149.62,113.12,62.14,20.0,165.19,93.13,201.45,81.36,65.86,3.87,32.23,1.55,4.65,8.52,10.54,0.25,16.13,684.73,412.71,67.82,344.89,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.84,1568.3,1219.52,1636.7,348.78,68.4,417.18,0.2224,0.0436,0.2549,1.3421,624.34,0.3981,0.3815,151.4,114.49,62.89,20.0,167.18,94.25,203.88,82.34,66.65,3.92,32.62,1.57,4.7,8.63,10.66,0.25,16.08,692.74,417.18,68.4,348.78,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.85,1586.97,1234.3,1655.94,352.67,68.97,421.64,0.2222,0.0435,0.2546,1.3416,631.77,0.3981,0.3815,153.18,115.85,63.64,20.0,169.17,95.38,206.31,83.32,67.45,3.97,33.01,1.59,4.76,8.73,10.79,0.25,16.03,700.75,421.64,68.97,352.67,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.86,1605.64,1249.08,1675.19,356.56,69.55,426.11,0.2221,0.0433,0.2544,1.3411,639.21,0.3981,0.3816,154.96,117.21,64.39,20.0,171.16,96.5,208.73,84.3,68.24,4.01,33.4,1.61,4.82,8.83,10.92,0.26,15.99,708.76,426.11,69.55,356.56,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.87,1624.31,1263.86,1694.44,360.45,70.13,430.58,0.2219,0.0432,0.2541,1.3407,646.64,0.3981,0.3816,156.74,118.57,65.13,20.0,173.15,97.62,211.16,85.28,69.03,4.06,33.79,1.62,4.87,8.93,11.05,0.26,15.94,716.76,430.58,70.13,360.45,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.88,1642.98,1278.64,1713.68,364.34,70.7,435.04,0.2218,0.043,0.2539,1.3402,654.07,0.3981,0.3817,158.52,119.94,65.88,20.0,175.14,98.74,213.59,86.26,69.83,4.11,34.17,1.64,4.93,9.04,11.17,0.26,15.89,724.77,435.04,70.7,364.34,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.89,1661.65,1293.42,1732.93,368.23,71.28,439.51,0.2216,0.0429,0.2536,1.3398,661.5,0.3981,0.3817,160.3,121.3,66.63,20.0,177.13,99.87,216.01,87.24,70.62,4.15,34.56,1.66,4.98,9.14,11.3,0.27,15.85,732.78,439.51,71.28,368.23,8,27,37,ok,
