country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_contribution_rate,employer_contribution_rate_before_reduction,employee_contributions_monthly_eur,employer_contributions_before_reduction_monthly_eur,employee_pension_monthly_eur,employee_sante_soins_monthly_eur,employee_sante_indemnites_monthly_eur,employee_chomage_monthly_eur,employer_pension_monthly_eur,employer_sante_soins_monthly_eur,employer_sante_indemnites_monthly_eur,employer_chomage_monthly_eur,employer_maladies_professionnelles_monthly_eur,employer_accidents_travail_monthly_eur,employer_residuel_monthly_eur,structural_reduction_monthly_eur,structural_reduction_quarterly_eur,structural_reduction_low_wage_component_quarterly_eur,structural_reduction_very_low_wage_component_quarterly_eur,structural_reduction_reference_wage_quarterly_eur,employer_contributions_monthly_eur,employer_contribution_rate,net_before_income_tax_monthly_eur,monthly_tax_base_before_annualisation_eur,annual_gross_tax_base_eur,professional_expenses_eur,annual_taxable_net_income_eur,annual_basic_tax_before_allowance_eur,annual_tax_after_basic_allowance_eur,withholding_tax_monthly_eur,net_after_withholding_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_withholding_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_withholding_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_withholding_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_withholding_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_withholding_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_withholding_tax_rate
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.8,1751.848,0.1307,0.25,228.966534,437.962,131.3886,62.190604,20.146252,15.241078,155.213733,66.570224,41.168428,25.576981,17.51848,5.255544,126.65861,639.940613,1919.82184,1085.61288,755.20896,5255.544,0.0,0.0,1522.881466,1522.88,18274.56,5482.37,12792.19,3421.91,433.93,36.16,1486.721466,1751.848,228.966534,265.126534,1.1503508570113885,1.1783296599880184,,,,,,,,,,,
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.81,1773.7461,0.1307,0.25,231.828615,443.436525,133.030958,62.967987,20.39808,15.431591,157.153904,67.402352,41.683033,25.896693,17.737461,5.321238,128.241843,631.400354,1894.201063,1070.503191,744.697872,5321.2383,0.0,0.0,1541.917485,1541.92,18503.04,5550.91,12952.13,3464.69,476.71,39.73,1502.187485,1773.7461,231.828615,271.558615,1.1503508570113885,1.1807754478255486,21.898100000000113,19.036018999999897,15.46601899999996,21.898100000000113,2.8620810000000176,6.432080999999982,0.8693000305962526,0.70627218799804,1.0,0.13069996940373835,0.2937278120019522
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.82,1795.6442,0.1307,0.25,234.690697,448.91105,134.673315,63.745369,20.649908,15.622105,159.094076,68.23448,42.197639,26.216405,17.956442,5.386933,129.825076,622.860095,1868.580286,1055.393502,734.186784,5386.9326,0.0,0.0,1560.953503,1560.95,18731.4,5619.42,13111.98,3507.45,519.47,43.29,1517.663503,1795.6442,234.690697,277.980697,1.1503508570113885,1.1831635908615574,21.898099999999886,19.036018000000013,15.476018000000067,21.898099999999886,2.8620819999999867,6.422082000000046,0.8692999849302046,0.7067288029555143,1.0,0.13070001506980064,0.29327119704449606
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.83,1817.5423,0.1307,0.25,237.552779,454.385575,136.315673,64.522752,20.901736,15.812618,161.034248,69.066607,42.712244,26.536118,18.175423,5.452627,131.408308,614.319836,1842.959509,1040.283813,723.675696,5452.6269,0.0,0.0,1579.989521,1579.99,18959.88,5687.96,13271.92,3550.24,562.26,46.86,1533.129521,1817.5423,237.552779,284.412779,1.1503508570113885,1.1855112530558665,21.898100000000113,19.036018000000013,15.466018000000076,21.898100000000113,2.8620819999999867,6.43208199999998,0.8692999849301956,0.706272142331983,1.0,0.13070001506979928,0.2937278576680144
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.84,1839.4404,0.1307,0.25,240.41486,459.8601,137.95803,65.300134,21.153565,16.003131,162.974419,69.898735,43.226849,26.85583,18.394404,5.518321,132.991541,605.779577,1817.338732,1025.174124,713.164608,5518.3212,0.0,0.0,1599.02554,1599.03,19188.36,5756.51,13431.85,3593.02,605.04,50.42,1548.60554,1839.4404,240.41486,290.83486,1.1503508570113885,1.1878043522513715,21.898099999999886,19.036019000000124,15.476018999999951,21.898099999999886,2.8620810000000176,6.4220809999999915,0.8693000305962719,0.7067288486215714,1.0,0.1306999694037397,0.29327115137843124
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.85,1861.3385,0.1307,0.25,243.276942,465.334625,139.600388,66.077517,21.405393,16.193645,164.914591,70.730863,43.741455,27.175542,18.613385,5.584016,134.574774,597.239318,1791.717955,1010.064435,702.65352,5584.0155,0.0,0.0,1618.061558,1618.06,19416.72,5825.02,13591.7,3635.78,647.8,53.98,1564.081558,1861.3385,243.276942,297.256942,1.1503508570113885,1.1900520726813004,21.898100000000113,19.036018000000013,15.476018000000067,21.898100000000113,2.8620819999999867,6.422081999999989,0.8692999849301956,0.706728802955507,1.0,0.13070001506979928,0.29327119704449045
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.86,1883.2366,0.1307,0.25,246.139024,470.80915,141.242745,66.854899,21.657221,16.384158,166.854763,71.562991,44.25606,27.495254,18.832366,5.64971,136.158006,588.699059,1766.097178,994.954746,692.142432,5649.7098,0.0,0.0,1637.097576,1637.1,19645.2,5893.56,13751.64,3678.56,690.58,57.55,1579.547576,1883.2366,246.139024,303.689024,1.1503508570113885,1.1922632962509385,21.898099999999886,19.036017999999785,15.466017999999849,21.898099999999886,2.862082000000015,6.432082000000037,0.8692999849301941,0.7062721423319799,1.0,0.13070001506980194,0.29372785766802006
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.87,1905.1347,0.1307,0.25,249.001105,476.283675,142.885103,67.632282,21.909049,16.574672,168.794934,72.395119,44.770665,27.814967,19.051347,5.715404,137.741239,580.1588,1740.476401,979.845057,681.631344,5715.4041,0.0,0.0,1656.133595,1656.13,19873.56,5962.07,13911.49,3721.32,733.34,61.11,1595.023595,1905.1347,249.001105,310.111105,1.1503508570113885,1.1944241491589864,21.898100000000113,19.036019000000124,15.476018999999951,21.898100000000113,2.862080999999989,6.4220809999999915,0.8693000305962629,0.706728848621564,1.0,0.13069996940373704,0.2932711513784282
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.88,1927.0328,0.1307,0.25,251.863187,481.7582,144.52746,68.409664,22.160877,16.765185,170.735106,73.227246,45.285271,28.134679,19.270328,5.781098,139.324471,571.618541,1714.855624,964.735368,671.120256,5781.0984,0.0,0.0,1675.169613,1675.17,20102.04,6030.61,14071.43,3764.11,776.13,64.68,1610.489613,1927.0328,251.863187,316.543187,1.1503508570113885,1.196550902531116,21.898099999999886,19.036018000000013,15.466018000000076,21.898099999999886,2.862082000000015,6.43208199999998,0.8692999849302046,0.7062721423319903,1.0,0.13070001506980194,0.29372785766801746
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.89,1948.9309,0.1307,0.25,254.725269,487.232725,146.169818,69.187047,22.412705,16.955699,172.675278,74.059374,45.799876,28.454391,19.489309,5.846793,140.907704,563.078282,1689.234847,949.625679,660.609168,5846.7927,0.0,0.0,1694.205631,1694.2,20330.4,6070.0,14260.4,3814.66,826.68,68.89,1625.315631,1948.9309,254.725269,323.615269,1.1503508570113885,1.1991091837080412,21.898100000000113,19.036018000000013,14.826017999999976,21.898100000000113,2.8620819999999867,7.072082000000023,0.8692999849301956,0.677045862426416,1.0,0.13070001506979928,0.3229541375735788
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.9,1970.829,0.1307,0.25,257.58735,492.70725,147.812175,69.96443,22.664534,17.146212,174.615449,74.891502,46.314482,28.774103,19.70829,5.912487,142.490937,554.538023,1663.61407,934.51599,650.09808,5912.487,0.0,0.0,1713.24165,1713.24,20558.88,6070.0,14488.88,3875.78,887.8,73.98,1639.26165,1970.829,257.58735,331.56735,1.1503508570113885,1.2022662766256258,21.898099999999886,19.036018999999897,13.946018999999978,21.898099999999886,2.8620810000000176,7.952080999999964,0.8693000305962616,0.6368597732223367,1.0,0.1306999694037397,0.3631402267776659
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.91,1992.7271,0.1307,0.25,260.449432,498.181775,149.454533,70.741812,22.916362,17.336726,176.555621,75.72363,46.829087,29.093816,19.927271,5.978181,144.074169,545.997764,1637.993293,919.406301,639.586992,5978.1813,0.0,0.0,1732.277668,1732.28,20787.36,6070.0,14717.36,3936.89,948.91,79.08,1653.197668,1992.7271,260.449432,339.529432,1.1503508570113885,1.2053773959012375,21.898100000000113,19.036018000000013,13.936018000000104,21.898100000000113,2.8620819999999867,7.962082000000009,0.8692999849301956,0.6364030669327491,1.0,0.13070001506979928,0.36359693306725094
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.92,2014.6252,0.1307,0.25,263.311514,503.6563,151.09689,71.519195,23.16819,17.527239,178.495793,76.555758,47.343692,29.413528,20.146252,6.043876,145.657402,537.457505,1612.372516,904.296612,629.075904,6043.8756,0.0,0.0,1751.313686,1751.32,21015.84,6070.0,14945.84,3998.01,1010.03,84.17,1667.143686,2014.6252,263.311514,347.481514,1.1503508570113885,1.2084292532689145,21.898099999999886,19.036018000000013,13.946017999999867,21.898099999999886,2.8620819999999867,7.9520820000000185,0.8692999849302046,0.6368597275562693,1.0,0.13070001506980064,0.36314027244373076
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.93,2036.5233,0.1307,0.25,266.173595,509.130825,152.739248,72.296577,23.420018,17.717753,180.435964,77.387885,47.858298,29.73324,20.365233,6.10957,147.240635,528.917246,1586.751739,889.186923,618.564816,6109.5699,0.0,0.0,1770.349705,1770.35,21244.2,6070.0,15174.2,4059.1,1071.12,89.26,1681.089705,2036.5233,266.173595,355.433595,1.1503508570113885,1.211430475315143,21.898100000000113,19.036019000000124,13.946019000000206,21.898100000000113,2.862080999999989,7.952081000000021,0.8693000305962629,0.6368597732223404,1.0,0.13069996940373704,0.3631402267776647
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.94,2058.4214,0.1307,0.25,269.035677,514.60535,154.381605,73.07396,23.671846,17.908266,182.376136,78.220013,48.372903,30.052952,20.584214,6.175264,148.823867,520.376987,1561.130962,874.077234,608.053728,6175.2642,0.0,0.0,1789.385723,1789.38,21472.56,6070.0,15402.56,4120.18,1132.2,94.35,1695.035723,2058.4214,269.035677,363.385677,1.1503508570113885,1.2143823118562749,21.898100000000113,19.036018000000013,13.946017999999867,21.898100000000113,2.8620820000000435,7.952081999999962,0.8692999849301956,0.6368597275562626,1.0,0.1307000150698019,0.3631402724437244
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.95,2080.3195,0.1307,0.25,271.897759,520.079875,156.023963,73.851342,23.923674,18.09878,184.316308,79.052141,48.887508,30.372665,20.803195,6.240959,150.4071,511.836728,1535.510185,858.967545,597.54264,6240.9585,8.243147,0.0039624426280033586,1808.421741,1808.42,21701.04,6070.0,15631.04,4181.3,1193.32,99.44,1708.981741,2088.562647,280.140905,379.580905,1.1549090562843707,1.2221093977381052,21.898099999999886,19.036018000000013,13.946018000000095,30.14124700000002,11.105227999999954,16.195227999999986,0.8692999849302046,0.6368597275562796,1.3764320648823496,0.5071320342860801,0.7395722916600103
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.96,2102.2176,0.1307,0.25,274.75984,525.5544,157.66632,74.628725,24.175502,18.289293,186.256479,79.884269,49.402114,30.692377,21.022176,6.306653,151.990332,503.296469,1509.889408,843.857856,587.031552,6306.6528,22.257931,0.010587833850628251,1827.45776,1827.46,21929.52,6070.0,15859.52,4242.42,1254.44,104.54,1722.91776,2124.475531,297.017771,401.557771,1.162530580755353,1.2330684495708306,21.898099999999886,19.036018999999897,13.936018999999987,35.91288399999985,16.876866000000007,21.97686600000003,0.8693000305962616,0.6364031125988127,1.6400000000000017,0.7707000150698049,1.003596933067259
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.97,2124.1157,0.1307,0.25,277.621922,531.028925,159.308678,75.406107,24.427331,18.479807,188.196651,80.716397,49.916719,31.012089,21.241157,6.372347,153.573565,494.75621,1484.268631,828.748167,576.520464,6372.3471,36.272715,0.017076619068663024,1846.493778,1846.5,22158.0,6070.0,16088.0,4303.54,1315.56,109.63,1736.863778,2160.388415,313.894637,423.524637,1.169994960391882,1.2438444753231697,21.898099999999886,19.036018000000013,13.946017999999867,35.91288399999985,16.876866000000007,21.966865999999982,0.8692999849302046,0.6368597275562693,1.6400000000000017,0.7707000150698049,1.0031402724437324
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.98,2146.0138,0.1307,0.25,280.484004,536.50345,160.951035,76.18349,24.679159,18.67032,190.136823,81.548524,50.431324,31.331801,21.460138,6.438041,155.156798,486.215951,1458.647854,813.638478,566.009376,6438.0414,50.287499,0.02343298009857458,1865.529796,1865.53,22386.36,6070.0,16316.36,4364.63,1376.65,114.72,1750.809796,2196.301299,330.771502,445.491502,1.1773070057501145,1.2544488289121691,21.89810000000034,19.036018000000013,13.946018000000095,35.912884000000304,16.87686500000001,21.96686500000004,0.8692999849301865,0.6368597275562664,1.6399999999999884,0.7706999694037266,1.003140226777652
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),0.99,2167.9119,0.1307,0.25,283.346085,541.977975,162.593393,76.960872,24.930987,18.860834,192.076994,82.380652,50.94593,31.651514,21.679119,6.503736,156.74003,477.675692,1433.027077,798.528789,555.498288,6503.7357,64.302283,0.029660929794548662,1884.565815,1884.56,22614.72,6070.0,16544.72,4425.71,1437.73,119.81,1764.755815,2232.214183,347.648368,467.458368,1.184471333020302,1.2648855802660035,21.898099999999886,19.036018999999897,13.946018999999978,35.91288399999985,16.876866000000007,21.966865999999982,0.8693000305962616,0.6368597732223367,1.6400000000000017,0.7707000150698049,1.0031402724437324
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),1.0,2189.81,0.1307,0.25,286.208167,547.4525,164.23575,77.738255,25.182815,19.051347,194.017166,83.21278,51.460535,31.971226,21.8981,6.56943,158.323263,469.135433,1407.4063,783.4191,544.9872,6569.43,78.317067,0.035764320496603184,1903.601833,1903.6,22843.2,6070.0,16773.2,4496.98,1509.0,125.75,1777.851833,2268.127067,364.525234,490.275234,1.1914923737450858,1.2757683315146469,21.898099999999886,19.036018000000013,13.096017999999958,35.91288399999985,16.876866000000007,22.816866000000005,0.8692999849302046,0.5980435745566979,1.6400000000000017,0.7707000150698049,1.041956425443309
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),1.01,2211.7081,0.1307,0.25,289.070249,552.927025,165.878108,78.515638,25.434643,19.24186,195.957338,84.044908,51.97514,32.290938,22.117081,6.635124,159.906496,460.595174,1381.785523,768.309411,534.476112,6635.1243,92.331851,0.041746851976834774,1922.637851,1922.64,23071.68,6070.0,17001.68,4594.77,1606.79,133.9,1788.737851,2304.039951,381.402099,515.302099,1.198374383960468,1.2880813971446505,21.898099999999886,19.036018000000013,10.88601800000015,35.912884000000304,16.87686500000001,25.026864999999987,0.8692999849302046,0.4971215767578103,1.6400000000000223,0.7706999694037426,1.1428783775761422
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),1.02,2233.6062,0.1307,0.25,291.93233,558.40155,167.520465,79.29302,25.686471,19.432374,197.897509,84.877036,52.489746,32.610651,22.336062,6.700819,161.489728,452.054915,1356.164746,753.199722,523.965024,6700.8186,106.346635,0.04761207891823845,1941.67387,1941.68,23300.16,6070.0,17230.16,4692.56,1704.58,142.05,1799.62387,2339.952835,398.278965,540.328965,1.2051214527990781,1.300245498026624,21.89810000000034,19.036019000000124,10.886018999999806,35.91288399999985,16.876866000000007,25.02686600000004,0.8693000305962539,0.49712162242384667,1.6399999999999677,0.7707000150697889,1.1428784232421831
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),1.03,2255.5043,0.1307,0.25,294.794412,563.876075,169.162823,80.070403,25.938299,19.622887,199.837681,85.709163,53.004351,32.930363,22.555043,6.766513,163.072961,443.514656,1330.543969,738.090033,513.453936,6766.5129,120.361419,0.05336341795786714,1960.709888,1960.71,23528.52,6070.0,17458.52,4790.3,1802.32,150.19,1810.519888,2375.865719,415.155831,565.345831,1.2117375105922779,1.3122560732013284,21.898099999999886,19.036018000000013,10.89601800000014,35.91288399999985,16.87686599999995,25.016865999999936,0.8692999849302046,0.49757823738133433,1.6400000000000017,0.7707000150698023,1.1424217626186777
Belgium,BE,2026-04,2026-04-01,belgium__non_profit_sector,Belgique · secteur non-marchand (Maribel social),Belgium · non-profit sector (Maribel social),1.04,2277.4024,0.1307,0.25,297.656494,569.3506,170.80518,80.847785,26.190128,19.813401,201.777853,86.541291,53.518956,33.250075,22.774024,6.832207,164.656194,434.974397,1304.923192,722.980344,502.942848,6832.2072,134.376203,0.059004154323656896,1979.745906,1979.74,23756.88,6070.0,17686.88,4888.03,1900.05,158.34,1821.405906,2411.778603,432.032696,590.372696,1.2182263365048394,1.3241302195727835,21.898099999999886,19.036018000000013,10.886017999999922,35.912884000000304,16.87686500000001,25.026865000000043,0.8692999849302046,0.49712157675779994,1.6400000000000223,0.7706999694037426,1.1428783775761446
