country,country_code,version,effective_from,province_code,province_name_fr,province_name_en,smic_multiple,gross_monthly_rmb,pension_employer_monthly_rmb,pension_employee_monthly_rmb,medical_employer_monthly_rmb,medical_employee_monthly_rmb,unemployment_employer_monthly_rmb,unemployment_employee_monthly_rmb,work_injury_employer_monthly_rmb,hpf_employer_monthly_rmb,hpf_employee_monthly_rmb,employee_contributions_monthly_rmb,employer_contributions_monthly_rmb,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_rmb,income_tax_monthly_rmb,net_after_income_tax_monthly_rmb,employer_cost_monthly_rmb,social_wedge_monthly_rmb,total_wedge_after_income_tax_monthly_rmb,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_rmb,delta_net_before_income_tax_monthly_rmb,delta_net_after_income_tax_monthly_rmb,delta_employer_cost_monthly_rmb,delta_social_wedge_monthly_rmb,delta_total_wedge_after_income_tax_monthly_rmb,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.8,2192.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,162.4,162.4,615.055,1158.241,0.28059078467153287,0.5283946167883211,1576.945,0.0,1576.945,3350.241,1773.296,1773.296,2.1245135372508237,2.1245135372508237,,,,,,,,,,,
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.81,2219.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,162.4,162.4,615.055,1158.241,0.2771267009101559,0.5218712264576011,1604.345,0.0,1604.345,3377.641,1773.296,1773.296,2.10530839688471,2.10530839688471,27.40000000000009,27.40000000000009,27.40000000000009,27.40000000000009,0.0,0.0,1.0,1.0,1.0,0.0,0.0
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.82,2246.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,162.4,162.4,615.055,1158.241,0.2737471069966175,0.5155069432081183,1631.745,0.0,1631.745,3405.041,1773.296,1773.296,2.0867482357843907,2.0867482357843907,27.40000000000009,27.399999999999864,27.399999999999864,27.40000000000009,0.0,0.0,0.9999999999999917,0.9999999999999917,1.0,0.0,0.0
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.83,2274.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,162.4,162.4,615.055,1158.241,0.27044894908099554,0.5092960161815144,1659.145,0.0,1659.145,3432.441,1773.296,1773.296,2.0688010993614183,2.0688010993614183,27.399999999999636,27.40000000000009,27.40000000000009,27.399999999999636,0.0,0.0,1.0000000000000167,1.0000000000000167,1.0,0.0,0.0
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.84,2301.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,162.4,162.4,615.055,1158.241,0.2672293187347932,0.5032329683698297,1686.545,0.0,1686.545,3459.841,1773.296,1773.296,2.051437109593874,2.051437109593874,27.40000000000009,27.40000000000009,27.40000000000009,27.40000000000009,0.0,0.0,1.0,1.0,1.0,0.0,0.0
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.85,2329.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,163.03,163.03,615.685,1158.871,0.26435594675826535,0.4975830828681837,1713.315,0.0,1713.315,3487.871,1774.556,1774.556,2.035744156795452,2.035744156795452,27.40000000000009,26.769999999999982,26.769999999999982,28.0300000000002,1.259999999999991,1.259999999999991,0.9770072992700691,0.9770072992700691,1.0229927007299309,0.04598540145985353,0.04598540145985353
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.86,2356.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,164.948,164.948,617.603,1160.789,0.2620959938889832,0.492611186555763,1738.797,0.0,1738.797,3517.189,1778.392,1778.392,2.022771490864086,2.022771490864086,27.40000000000009,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.0699999999999876,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.87,2383.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,166.866,166.866,619.521,1162.707,0.2598879939592248,0.4877535867102944,1764.279,0.0,1764.279,3546.507,1782.228,1782.228,2.010173560984402,2.010173560984402,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.88,2411.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,168.784,168.784,621.439,1164.625,0.2577301758460518,0.4830063868613139,1789.761,0.0,1789.761,3575.825,1786.064,1786.064,1.9979343610683216,1.9979343610683216,27.399999999999636,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000054,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.89,2438.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,170.702,170.702,623.357,1166.543,0.2556208480275568,0.47836586566062494,1815.243,0.0,1815.243,3605.143,1789.9,1789.9,1.986038783788176,1.986038783788176,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
