country,country_code,currency_code,reference_profile_id,reference_profile_description,harmonized_wage_point_intl_usd,ppp_factor_lcu_per_intl_usd,gross_monthly_local,gross_monthly_intl_usd,employee_contributions_monthly_local,employee_contributions_monthly_intl_usd,employer_contributions_monthly_local,employer_contributions_monthly_intl_usd,net_before_income_tax_monthly_local,net_before_income_tax_monthly_intl_usd,income_tax_or_withholding_tax_monthly_local,income_tax_or_withholding_tax_monthly_intl_usd,net_after_income_tax_monthly_local,net_after_income_tax_monthly_intl_usd,employer_cost_monthly_local,employer_cost_monthly_intl_usd,social_wedge_before_income_tax_rate,total_wedge_after_income_tax_rate,cost_to_net_before_income_tax_ratio,cost_to_net_after_income_tax_ratio,income_tax_modeled,aggregation_method,below_minimum_wage,national_minimum_wage_monthly_local,note,flcl_e_before_income_tax
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",2000.0,0.716934,1433.87,2000.0,320.76,447.41,64.25,89.62,1113.11,1552.59,9.95,13.87,1103.16,1538.72,1498.12,2089.62,0.256996,0.263636,1.345889,1.358023,True,single_reference_profile,True,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",74.30011198208287
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",2000.0,0.701547,1403.09,2000.0,249.13,355.12,315.42,449.61,1153.96,1644.88,0.0,0.0,1153.96,1644.88,1718.52,2449.61,0.328514,0.328514,1.489234,1.489234,True,single_reference_profile,True,2409.33,,67.14864815215483
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,2000.0,0.752163,1504.33,2000.0,196.62,261.4,0.0,0.0,1307.71,1738.6,0.0,0.0,1307.71,1738.6,1504.33,2000.0,0.1307,0.1307,1.150351,1.150351,True,single_reference_profile,True,2189.81,,86.93
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",2000.0,1.107209,2214.42,2000.0,184.05,166.23,168.54,152.22,2030.37,1833.77,24.82,22.42,2005.55,1811.35,2382.96,2152.22,0.147963,0.15838,1.173658,1.188185,True,population_weighted_average_26_cantons,True,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",85.2036501844607
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",2000.0,0.74195,1483.9,2000.0,0.0,0.0,274.37,369.8,1483.9,2000.0,36.95,49.8,1446.95,1950.2,1758.27,2369.8,0.156047,0.177062,1.1849,1.215158,True,single_reference_profile,True,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",2000.0,0.682739,1365.48,2000.0,67.71,99.17,167.68,245.6,1297.77,1900.83,54.92,80.44,1242.85,1820.39,1533.16,2245.6,0.153533,0.189354,1.181381,1.233584,True,population_weighted_average_ruk_scotland,True,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",84.64686498040614
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",2000.0,0.88195,1763.9,2000.0,61.84,70.12,158.73,179.98,1702.06,1929.88,39.71,45.03,1662.35,1884.86,1922.63,2179.98,0.114723,0.135377,1.12959,1.156574,True,single_reference_profile,True,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",88.52741768273103
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",2000.0,0.588481,1176.96,2000.0,92.59,157.34,450.82,766.07,1084.37,1842.66,0.0,0.0,1084.37,1842.66,1627.78,2766.07,0.333835,0.333835,1.501129,1.501129,True,population_weighted_average_16_regions,True,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",66.61653537329134
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",2500.0,0.716934,1792.33,2499.99,395.47,551.61,75.31,105.05,1396.86,1948.39,39.05,54.47,1357.81,1893.92,1867.64,2605.04,0.252071,0.272979,1.337024,1.375476,True,single_reference_profile,True,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",74.79309338820133
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",2500.0,0.701547,1753.87,2500.0,358.36,510.81,378.64,539.72,1395.51,1989.19,44.91,64.02,1350.6,1925.17,2132.51,3039.72,0.345602,0.366662,1.528123,1.578936,True,single_reference_profile,True,2409.33,,65.43990893898123
