country,profile_id,profile_label_fr,profile_label_en,dimension_region,dimension_family_status,dimension_health_insurance,parameter_version,effective_from,minimum_wage_hourly_eur,monthly_reference_hours,monthly_minimum_wage_eur,employment_regime,employment_regime_label_fr,employment_regime_label_en,is_minijob,is_midijob,is_standard_job,minijob_threshold_monthly_eur,midijob_lower_threshold_monthly_eur,midijob_upper_threshold_monthly_eur,smic_multiple,gross_monthly_eur,net_before_income_tax_monthly_eur,employer_cost_monthly_eur,steuerklasse,church_tax,lohnsteuer_monthly_eur,solidarity_surcharge_monthly_eur,church_tax_base_monthly_eur,net_after_income_tax_monthly_eur,tax_wedge_monthly_eur,total_wedge_after_tax_monthly_eur,cost_to_net_after_tax_ratio,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_pension_monthly_eur,employee_unemployment_monthly_eur,employee_health_monthly_eur,employee_care_monthly_eur,employer_pension_monthly_eur,employer_unemployment_monthly_eur,employer_health_monthly_eur,employer_care_monthly_eur,employer_insolvency_levy_monthly_eur,employer_u2_levy_monthly_eur,health_care_base_monthly_eur,pension_unemployment_base_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,minijob,Minijob,Minijob,True,False,False,603.0,603.01,2000.0,0.2,481.866666666574,481.866666666574,632.0645066665452,1,False,0.0,0.0,0.0,481.866666666574,0.0,150.19783999997117,1.3117,0.0,150.1978399999711,0.0,0.0,0.0,0.0,72.2799999999861,0.0,77.91783999998502,0.0,0.0,0.0,481.866666666574,481.866666666574,150.19783999997117,0.0,0.3117,0.2376305557673249,1.3117
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,minijob,Minijob,Minijob,True,False,False,603.0,603.01,2000.0,0.21,505.9599999999027,505.9599999999027,663.6677319998723,1,False,0.0,0.0,0.0,505.9599999999027,0.0,157.7077319999696,1.3116999999999999,0.0,157.70773199996967,0.0,0.0,0.0,0.0,75.89399999998541,0.0,81.81373199998427,0.0,0.0,0.0,505.9599999999027,505.9599999999027,157.7077319999696,0.0,0.3117,0.23763055576732478,1.3116999999999999
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,minijob,Minijob,Minijob,True,False,False,603.0,603.01,2000.0,0.22,530.0533333332314,530.0533333332314,695.2709573331997,1,False,0.0,0.0,0.0,530.0533333332314,0.0,165.21762399996828,1.3117,0.0,165.21762399996823,0.0,0.0,0.0,0.0,79.5079999999847,0.0,85.70962399998352,0.0,0.0,0.0,530.0533333332314,530.0533333332314,165.21762399996828,0.0,0.3117,0.2376305557673249,1.3117
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,minijob,Minijob,Minijob,True,False,False,603.0,603.01,2000.0,0.23,554.1466666665601,554.1466666665601,726.8741826665268,1,False,0.0,0.0,0.0,554.1466666665601,0.0,172.72751599996673,1.3116999999999999,0.0,172.72751599996678,0.0,0.0,0.0,0.0,83.12199999998401,0.0,89.60551599998277,0.0,0.0,0.0,554.1466666665601,554.1466666665601,172.72751599996673,0.0,0.3117,0.23763055576732478,1.3116999999999999
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,minijob,Minijob,Minijob,True,False,False,603.0,603.01,2000.0,0.24,578.2399999998888,578.2399999998888,758.4774079998542,1,False,0.0,0.0,0.0,578.2399999998888,0.0,180.2374079999654,1.3117,0.0,180.23740799996534,0.0,0.0,0.0,0.0,86.73599999998332,0.0,93.50140799998202,0.0,0.0,0.0,578.2399999998888,578.2399999998888,180.2374079999654,0.0,0.3117,0.2376305557673249,1.3117
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,minijob,Minijob,Minijob,True,False,False,603.0,603.01,2000.0,0.25,602.3333333332175,602.3333333332175,790.0806333331814,1,False,0.0,0.0,0.0,602.3333333332175,0.0,187.74729999996384,1.3116999999999999,0.0,187.7472999999639,0.0,0.0,0.0,0.0,90.34999999998263,0.0,97.39729999998127,0.0,0.0,0.0,602.3333333332175,602.3333333332175,187.74729999996384,0.0,0.3117,0.23763055576732478,1.3116999999999999
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,midijob,Midijob / Übergangsbereich,Midijob / transitional employment range,False,True,False,603.0,603.01,2000.0,0.26,626.4266666665462,619.3332665058653,803.2149970455005,1,False,0.0,0.0,0.0,619.3332665058653,0.0,183.8817305396352,1.2969027185913222,7.09340016068102,176.78833037895427,3.1190837585973283,0.4360009555028523,2.934621815884583,0.603693630696257,76.11155750942228,10.639249974435373,71.61033636639193,14.731269195372054,0.9396399999998194,2.7562773333328034,626.4266666665462,626.4266666665462,183.8817305396352,0.01132359227046909,0.28221712099153123,0.2289321429704564,1.2969027185913222
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,midijob,Midijob / Übergangsbereich,Midijob / transitional employment range,False,True,False,603.0,603.01,2000.0,0.27,650.5199999998749,636.1313385646023,831.834016060362,1,False,0.0,0.0,0.0,636.1313385646023,0.0,195.70267749575976,1.3076450814974039,14.388661435272587,181.3140160604871,6.326929141751067,0.8844094499221921,5.952755912937832,1.2245669306614968,78.03906935993082,10.90868711482904,73.42385558058007,15.104336005147898,0.9757799999998125,2.8622879999994497,650.5199999998749,650.5199999998749,195.70267749575976,0.02211870724232207,0.2787216627629004,0.235266499947459,1.3076450814974039
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,midijob,Midijob / Übergangsbereich,Midijob / transitional employment range,False,True,False,603.0,603.01,2000.0,0.28,674.6133333332037,652.9294106233395,860.4530350752237,1,False,0.0,0.0,0.0,652.9294106233395,0.0,207.5236244518842,1.3178347016927376,21.683922709864202,185.83970174201997,9.534774524904828,1.3328179443415349,8.9708900099911,1.8454402306267406,79.96658121043937,11.178124255222707,75.23737479476823,15.477402814923748,1.0119199999998056,2.9682986666660964,674.6133333332037,674.6133333332037,207.5236244518842,0.03214274257332848,0.2754758801220289,0.24117949032946553,1.3178347016927376
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,midijob,Midijob / Übergangsbereich,Midijob / transitional employment range,False,True,False,603.0,603.01,2000.0,0.29,698.7066666665323,669.7274826820766,889.0720540900852,1,False,0.0,0.0,0.0,669.7274826820766,0.0,219.34457140800862,1.3275131707744667,28.979183984455748,190.36538742355282,12.742619908058556,1.7812264387608732,11.989024107044338,2.4663135305919783,81.89409306094792,11.447561395616376,77.05089400895638,15.850469624699596,1.0480599999997986,3.0743093333327423,698.7066666665323,698.7066666665323,219.34457140800862,0.04147546512288607,0.2724539445598383,0.2467118051893953,1.3275131707744667
