country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_prsi_monthly_eur,employer_prsi_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,income_tax_monthly_eur,usc_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.8,1913.08,80.34,172.16,80.34,172.16,0.04199510736613211,0.08999100926255045,1832.74,49.28,23.25,1760.21,2085.24,252.5,325.03,1.1377718607112846,1.1846541037717089,,,,,,,,,,,
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.81,1936.9935,81.34,174.33,81.34,174.33,0.041992913244159054,0.09000030201443629,1855.6535,54.07,23.73,1777.8535,2111.3235,255.67,333.47,1.1377789549611497,1.187568885737773,23.913500000000113,22.913499999999885,17.643499999999904,26.083500000000186,3.1699999999999875,8.440000000000055,0.9581826165136754,0.7378050055407958,1.0907437221653067,0.13256110565161822,0.35293871662450144
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.82,1960.907,82.38,176.5,82.38,176.5,0.042011171361007946,0.09000936811383713,1878.527,58.85,24.2,1795.477,2137.407,258.88,341.93,1.1378101033416077,1.1904396436155964,23.913499999999885,22.87350000000015,17.62350000000015,26.083500000000186,3.210000000000008,8.45999999999998,0.9565099211742429,0.7369686578710868,1.0907437221653171,0.13423380099107296,0.35377506429422795
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.83,1984.8205,83.37,178.62,83.37,178.62,0.0420037983283627,0.08999302455814015,1901.4505,63.63,24.68,1813.1405,2163.4405,261.99,350.3,1.1377842862593581,1.1932006923898066,23.913500000000113,22.923499999999876,17.663499999999885,26.033500000000004,3.1100000000000136,8.370000000000005,0.9586007903485382,0.7386413532105214,1.0886528529909834,0.13005206264244043,0.35001149978045726
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.84,2008.734,84.37,180.79,84.37,180.79,0.042001579104052604,0.09000196143441591,1924.364,68.41,25.16,1830.794,2189.524,265.16,358.73,1.137790979253405,1.1959423069990398,23.913499999999885,22.913500000000113,17.653500000000122,26.08349999999973,3.170000000000016,8.430000000000007,0.9581826165136941,0.738223179375675,1.090743722165298,0.1325611056516207,0.3525205427896396
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.85,2032.6475,85.37,182.95,85.37,182.95,0.04199941209678511,0.09000576833907503,1947.2775,73.2,25.64,1848.4375,2215.5975,268.32,367.16,1.1377923793604148,1.1986326289095521,23.913500000000113,22.913499999999885,17.643499999999904,26.073499999999967,3.159999999999968,8.430000000000007,0.9581826165136754,0.7378050055407958,1.0903255483304344,0.13214293181675427,0.3525205427896363
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.86,2056.561,86.36,185.08,86.36,185.08,0.041992432998583566,0.08999489925171197,1970.201,77.98,26.12,1866.101,2241.641,271.44,375.54,1.1377727450143411,1.201243126711791,23.913500000000113,22.923500000000104,17.663500000000113,26.043500000000222,3.1200000000000045,8.379999999999995,0.9586007903485477,0.7386413532105308,1.0890710268258557,0.1304702364773032,0.35042967361532007
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.87,2080.4745,87.36,187.24,87.36,187.24,0.041990420935224156,0.08999869981583529,1993.1145,82.76,26.59,1883.7645,2267.7145,274.6,383.95,1.1377743225489554,1.2038205943471172,23.913499999999658,22.913499999999885,17.663499999999885,26.073499999999967,3.160000000000025,8.409999999999968,0.9581826165136936,0.7386413532105354,1.0903255483304553,0.13214293181675915,0.35168419511991506
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.88,2104.388,88.4,189.41,88.4,189.41,0.042007462502162154,0.09000716597889744,2015.988,87.55,27.07,1901.368,2293.798,277.81,392.43,1.1378033996234105,1.2063935019417598,23.913500000000113,22.87350000000015,17.60349999999994,26.08349999999973,3.2099999999999795,8.480000000000018,0.9565099211742338,0.7361323102013447,1.0907437221652878,0.1342338009910705,0.3546114119639525
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.89,2128.3015,89.4,191.53,89.4,191.53,0.04200532678288297,0.08999194897903327,2038.9015,92.33,27.55,1919.0215,2319.8315,280.93,400.81,1.1377849788231555,1.2088616516281867,23.913500000000113,22.913499999999885,17.653500000000122,26.033500000000004,3.1200000000000045,8.379999999999995,0.9581826165136754,0.7382231793756681,1.0886528529909834,0.1304702364773032,0.35042967361532007
