country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,ivs_employer_monthly_eur,ivs_employee_monthly_eur,aggiuntivo_1_percent_monthly_eur,naspi_monthly_eur,cigo_monthly_eur,cigs_employer_monthly_eur,cigs_employee_monthly_eur,maternita_monthly_eur,fondo_garanzia_tfr_monthly_eur,cuaf_monthly_eur,inail_monthly_eur,tfr_accrual_monthly_eur,irpef_lorda_annual_eur,detrazione_lavoro_dipendente_annual_eur,ulteriore_detrazione_annual_eur,trattamento_integrativo_annual_eur,addizionale_regionale_annual_eur,addizionale_comunale_annual_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,income_tax_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.8,1851.64936,440.877713,170.166576,0.0,29.811555,37.032987,11.109896,5.554948,8.517587,3.703299,12.591216,9.258247,127.900965,4625.560827,2632.134654,1000.0,0.0,347.922619,181.000206,175.721524,552.902499,0.09489999999999998,0.29860000000000003,1675.927836,126.862416,1549.065419,2532.452824,856.524988,983.387405,1.5110751011756425,1.634826258727204,,,,,,,,,,,
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.81,1874.794977,446.388684,172.293658,0.0,30.184199,37.4959,11.24877,5.624385,8.624057,3.74959,12.748606,9.373975,129.499727,4683.380337,2609.122876,1000.0,0.0,352.271651,183.262709,177.918043,559.81378,0.09489999999999998,0.2986,1696.876934,134.149318,1562.727615,2564.108484,867.231551,1001.380869,1.5110751011756427,1.6407904098201802,23.14561700000013,20.94909799999982,13.662195999999994,31.655659999999898,10.70656299999996,17.993464000000017,0.9051000023027991,0.5902714107815712,1.3676740611408078,0.46257410204272803,0.7774026503592415
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.82,1897.940594,451.899655,174.420741,0.0,30.556844,37.958812,11.387644,5.693822,8.730527,3.795881,12.905996,9.489703,131.098489,4741.199847,2586.111098,1000.0,0.0,356.620684,185.525211,180.114562,566.725061,0.0949,0.2986,1717.826032,141.43622,1576.389811,2595.764145,877.938113,1019.374333,1.5110751011756425,1.6466511811522524,23.145616999999902,20.94909800000005,13.662195999999994,31.655661000000237,10.706562000000076,17.993464000000017,0.9051000023028177,0.590271410781577,1.3676741043455602,0.46257405883801334,0.7774026503592492
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.83,1921.086211,457.410627,176.547823,0.0,30.929488,38.421724,11.526517,5.763259,8.836997,3.842172,13.063386,9.605431,132.697251,4799.019358,2563.099319,1000.0,0.0,360.969717,187.787714,182.311081,573.636343,0.0949,0.2986,1738.77513,148.723122,1590.052007,2627.419805,888.644675,1037.367798,1.5110751011756425,1.6524112375316364,23.14561700000013,20.94909800000005,13.662195999999994,31.655659999999898,10.706561999999963,17.993465000000015,0.9051000023028088,0.5902714107815712,1.3676740611408078,0.4625740588380039,0.7774026935639656
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.84,1944.231828,462.921598,178.674905,0.0,31.302132,38.884637,11.665391,5.832695,8.943466,3.888464,13.220776,9.721159,134.296013,4856.838868,2540.087541,1000.0,0.0,365.31875,190.050217,184.5076,580.547624,0.09490000000000001,0.29860000000000003,1759.724228,156.010024,1603.714203,2659.075465,899.351238,1055.361262,1.5110751011756425,1.6580731529595147,23.145616999999902,20.94909800000005,13.662195999999994,31.655659999999898,10.70656299999996,17.993463999999904,0.9051000023028177,0.590271410781577,1.3676740611408214,0.4625741020427326,0.7774026503592443
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.85,1967.377445,468.43257,180.801987,0.0,31.674777,39.347549,11.804265,5.902132,9.049936,3.934755,13.378167,9.836887,135.894775,4914.658378,2517.075762,1000.0,0.0,369.667782,192.312719,186.70412,587.458905,0.09489999999999998,0.29860000000000003,1780.673325,163.296926,1617.376399,2690.731125,910.0578,1073.354726,1.5110751011756425,1.6636394144653328,23.14561700000013,20.949096999999938,13.662195999999994,31.655659999999898,10.706562000000076,17.99346400000013,0.9050999590980798,0.5902714107815712,1.3676740611408078,0.4625740588380088,0.7774026503592464
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.86,1990.523062,473.943541,182.929069,0.0,32.047421,39.810461,11.943138,5.971569,9.156406,3.981046,13.535557,9.952615,137.493537,4972.477889,2494.063984,1000.0,0.0,374.016815,194.575222,188.900639,594.370186,0.09490000000000001,0.29860000000000003,1801.622423,170.583828,1631.038595,2722.386786,920.764362,1091.348191,1.5110751011756425,1.6691124257493408,23.145616999999902,20.94909800000005,13.662195999999994,31.655661000000237,10.706561999999963,17.993465000000015,0.9051000023028177,0.590271410781577,1.3676741043455602,0.4625740588380084,0.7774026935639733
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.87,2013.668679,479.454512,185.056152,0.0,32.420066,40.273374,12.082012,6.041006,9.262876,4.027337,13.692947,10.068343,139.092299,5030.297399,2471.052206,1000.0,0.0,378.365848,196.837724,191.097158,601.281468,0.09489999999999998,0.2986,1822.571521,177.87073,1644.700791,2754.042446,931.470925,1109.341655,1.5110751011756425,1.6744945106435871,23.14561700000013,20.94909800000005,13.662195999999994,31.655659999999898,10.70656299999996,17.993463999999904,0.9051000023028088,0.5902714107815712,1.3676740611408078,0.46257410204272803,0.7774026503592366
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.88,2036.814296,484.965484,187.183234,0.0,32.79271,40.736286,12.220886,6.110443,9.369346,4.073629,13.850337,10.184071,140.691062,5088.116909,2448.040427,1000.0,0.0,382.714881,199.100227,193.293677,608.192749,0.0949,0.2986,1843.520619,185.157632,1658.362987,2785.698106,942.177487,1127.335119,1.5110751011756423,1.6797879164018332,23.145616999999902,20.94909799999982,13.662195999999994,31.655659999999898,10.706562000000076,17.99346400000013,0.905100002302808,0.590271410781577,1.3676740611408214,0.46257405883801334,0.777402650359254
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",0.89,2059.959913,490.476455,189.310316,0.0,33.165355,41.199198,12.359759,6.17988,9.475816,4.11992,14.007727,10.2998,142.289824,5145.93642,2425.028649,1000.0,0.0,387.063913,201.362729,195.490196,615.10403,0.09489999999999997,0.2986,1864.469717,192.444534,1672.025183,2817.353767,952.884049,1145.328584,1.5110751011756425,1.684994816828179,23.14561700000013,20.94909800000005,13.662195999999994,31.655661000000237,10.706561999999963,17.993465000000015,0.9051000023028088,0.5902714107815712,1.3676741043455467,0.4625740588380039,0.7774026935639656
