country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_pln,retirement_employee_monthly_pln,retirement_employer_monthly_pln,disability_employee_monthly_pln,disability_employer_monthly_pln,sickness_employee_monthly_pln,accident_employer_monthly_pln,labour_fund_employer_monthly_pln,guaranteed_benefits_fund_employer_monthly_pln,health_insurance_monthly_pln,employee_contributions_monthly_pln,employer_contributions_monthly_pln,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_pln,income_tax_monthly_pln,net_after_income_tax_monthly_pln,employer_cost_monthly_pln,social_wedge_monthly_pln,total_wedge_after_income_tax_monthly_pln,below_minimum_wage,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_pln,delta_net_before_income_tax_monthly_pln,delta_net_after_income_tax_monthly_pln,delta_employer_cost_monthly_pln,delta_social_wedge_monthly_pln,delta_total_wedge_after_income_tax_monthly_pln,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.8,3844.8,375.25248,375.25248,57.672,249.912,94.1976,64.20816,0.0,0.0,298.591013,825.713093,689.37264,0.21476099999999998,0.17930000000000004,3019.086907,68.12135,2950.965557,4534.17264,1515.085733,1583.207083,True,1.5018357468235786,1.5365047652121073,,,,,,,,,,,
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.81,3892.86,379.943136,379.943136,58.3929,253.0359,95.37507,65.010762,0.0,0.0,302.3234,836.034506,697.989798,0.214761,0.17930000000000001,3056.825494,73.097867,2983.727626,4590.849798,1534.024304,1607.122172,True,1.5018357468235786,1.5386289812768443,48.059999999999945,37.73858700000028,32.76206899999988,56.67715800000042,18.938571000000138,23.91508900000008,0.7852390137328407,0.6816909904286292,1.17930000000001,0.39406098626716934,0.49760900957137133
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.82,3940.92,384.633792,384.633792,59.1138,256.1598,96.55254,65.813364,0.0,0.0,306.055788,846.35592,706.606956,0.214761,0.17930000000000001,3094.56408,78.074384,3016.489696,4647.526956,1552.962876,1631.03726,True,1.5018357468235786,1.540707055155609,48.059999999999945,37.73858599999994,32.76207000000022,56.67715799999951,18.938572000000022,23.91508799999997,0.7852389929255095,0.6816910112359604,1.1792999999999911,0.3940610070744911,0.49760898876404486
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.83,3988.98,389.324448,389.324448,59.8347,259.2837,97.73001,66.615966,0.0,0.0,309.788176,856.677334,715.224114,0.214761,0.1793,3132.302666,83.050901,3049.251765,4704.204114,1571.901448,1654.952349,True,1.5018357468235786,1.5427404741445832,48.059999999999945,37.73858599999994,32.76206899999988,56.67715800000042,18.938572000000022,23.915088999999853,0.7852389929255095,0.6816909904286292,1.17930000000001,0.3940610070744911,0.4976090095713666
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.84,4037.04,394.015104,394.015104,60.5556,262.4076,98.90748,67.418568,0.0,0.0,313.520563,866.998747,723.841272,0.214761,0.17930000000000004,3170.041253,88.027418,3082.013835,4760.881272,1590.840019,1678.867437,True,1.5018357468235788,1.5447306622996078,48.059999999999945,37.738586999999825,32.76207000000022,56.67715799999951,18.93857099999991,23.915088000000196,0.7852390137328312,0.6816910112359604,1.1792999999999911,0.3940609862671646,0.4976089887640496
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.85,4085.1,398.70576,398.70576,61.2765,265.5315,100.08495,68.22117,0.0,0.0,317.252951,877.320161,732.45843,0.21476099999999998,0.17930000000000001,3207.779839,93.003935,3114.775904,4817.55843,1609.778591,1702.782526,True,1.5018357468235786,1.5466789837620794,48.059999999999945,37.73858599999994,32.76206899999988,56.67715800000042,18.938572000000022,23.915088999999853,0.7852389929255095,0.6816909904286292,1.17930000000001,0.3940610070744911,0.4976090095713666
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.86,4133.16,403.396416,403.396416,61.9974,268.6554,101.26242,69.023772,0.0,0.0,320.985339,887.641575,741.075588,0.214761,0.1793,3245.518425,97.980452,3147.537974,4874.235588,1628.717163,1726.697614,True,1.5018357468235783,1.5485867458771374,48.059999999999945,37.738586000000396,32.76206999999977,56.67715799999951,18.938572000000022,23.91508799999997,0.7852389929255189,0.681691011235951,1.1792999999999911,0.3940610070744911,0.49760898876404486
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.87,4181.22,408.087072,408.087072,62.7183,271.7793,102.43989,69.826374,0.0,0.0,324.717726,897.962988,749.692746,0.214761,0.17930000000000001,3283.257012,102.956969,3180.300043,4930.912746,1647.655734,1750.612703,True,1.5018357468235786,1.5504552021191136,48.0600000000004,37.738586999999825,32.76206900000034,56.67715800000042,18.93857099999991,23.91508900000008,0.7852390137328238,0.6816909904286322,1.179299999999999,0.3940609862671609,0.49760900957136667
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.88,4229.28,412.777728,412.777728,63.4392,274.9032,103.61736,70.628976,0.0,0.0,328.450114,908.284402,758.309904,0.21476100000000004,0.17930000000000001,3320.995598,107.933485,3213.062112,4987.589904,1666.594306,1774.527792,True,1.5018357468235786,1.5522855548380083,48.05999999999949,37.73858599999994,32.76206899999988,56.67715800000042,18.938572000000022,23.91508900000008,0.7852389929255169,0.6816909904286357,1.179300000000021,0.3940610070744949,0.49760900957137605
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.89,4277.34,417.468384,417.468384,64.1601,278.0271,104.79483,71.431578,0.0,0.0,332.182502,918.605816,766.927062,0.214761,0.1793,3358.734184,112.910002,3245.824182,5044.267062,1685.532878,1798.44288,True,1.5018357468235786,1.5540789578396346,48.0600000000004,37.73858599999994,32.76206999999977,56.67715799999951,18.938572000000022,23.91508799999997,0.785238992925502,0.6816910112359446,1.17929999999998,0.3940610070744874,0.49760898876404014
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.9,4325.4,422.15904,422.15904,64.881,281.151,105.9723,72.23418,0.0,0.0,335.914889,928.927229,775.54422,0.214761,0.17930000000000001,3396.472771,117.886519,3278.586251,5100.94422,1704.471449,1822.357969,True,1.5018357468235786,1.5558365188110663,48.05999999999949,37.73858700000028,32.76206900000034,56.67715800000042,18.93857099999991,23.915088999999853,0.7852390137328481,0.6816909904286451,1.179300000000021,0.39406098626716834,0.49760900957137133
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.91,4373.46,426.849696,426.849696,65.6019,284.2749,107.14977,73.036782,0.0,0.0,339.647277,939.248643,784.161378,0.21476100000000004,0.17930000000000001,3434.211357,122.863036,3311.348321,5157.621378,1723.410021,1846.273057,True,1.5018357468235786,1.5575593016021034,48.0600000000004,37.73858599999994,32.76206999999977,56.67715799999951,18.938572000000022,23.915088000000196,0.785238992925502,0.6816910112359446,1.17929999999998,0.3940610070744874,0.49760898876404486
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.92,4421.52,431.540352,431.540352,66.3228,287.3988,108.32724,73.839384,0.0,0.0,343.379665,949.570057,792.778536,0.214761,0.17930000000000001,3471.949943,127.839553,3344.11039,5214.298536,1742.348593,1870.188146,True,1.5018357468235786,1.559248328372629,48.0600000000004,37.73858599999994,32.76206899999988,56.67715800000042,18.938572000000022,23.915088999999853,0.785238992925502,0.6816909904286228,1.179299999999999,0.3940610070744874,0.4976090095713619
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.93,4469.58,436.231008,436.231008,67.0437,290.5227,109.50471,74.641986,0.0,0.0,347.112052,959.89147,801.395694,0.21476100000000004,0.1793,3509.68853,132.81607,3376.87246,5270.975694,1761.287164,1894.103234,True,1.5018357468235786,1.5609045816149654,48.05999999999949,37.738586999999825,32.76207000000022,56.67715799999951,18.938571000000138,23.91508799999997,0.7852390137328387,0.6816910112359669,1.1793000000000022,0.3940609862671731,0.4976089887640496
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.94,4517.64,440.921664,440.921664,67.7646,293.6466,110.68218,75.444588,0.0,0.0,350.84444,970.212884,810.012852,0.21476099999999998,0.17930000000000001,3547.427116,137.792587,3409.634529,5327.652852,1780.225736,1918.018323,True,1.5018357468235786,1.5625290060596384,48.0600000000004,37.73858599999994,32.76206899999988,56.67715800000042,18.938572000000022,23.91508900000008,0.785238992925502,0.6816909904286228,1.179299999999999,0.3940610070744874,0.49760900957136667
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.95,4565.7,445.61232,445.61232,68.4855,296.7705,111.85965,76.24719,0.0,0.0,354.576828,980.534298,818.63001,0.21476099999999998,0.17930000000000001,3585.165702,142.769104,3442.396599,5384.33001,1799.164308,1941.933411,True,1.5018357468235786,1.5641225104723144,48.05999999999949,37.73858599999994,32.76207000000022,56.67715799999951,18.938571999999795,23.91508799999997,0.7852389929255169,0.6816910112359669,1.1793000000000022,0.3940610070744901,0.4976089887640496
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.96,4613.76,450.302976,450.302976,69.2064,299.8944,113.03712,77.049792,0.0,0.0,358.309215,990.855711,827.247168,0.21476100000000004,0.17930000000000001,3622.904289,147.74562,3475.158668,5441.007168,1818.102879,1965.8485,True,1.5018357468235786,1.565685969349095,48.0600000000004,37.73858700000028,32.76206899999988,56.67715800000042,18.938571000000138,23.91508900000008,0.7852390137328332,0.6816909904286228,1.179299999999999,0.3940609862671656,0.49760900957136667
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.97,4661.82,454.993632,454.993632,69.9273,303.0183,114.21459,77.852394,0.0,0.0,362.041603,1001.177125,835.864326,0.214761,0.17930000000000001,3660.642875,152.722137,3507.920738,5497.684326,1837.041451,1989.763588,True,1.5018357468235786,1.5672202245168128,48.05999999999949,37.73858599999994,32.76206999999977,56.67715799999951,18.938572000000022,23.91508799999997,0.7852389929255169,0.6816910112359574,1.1793000000000022,0.3940610070744949,0.4976089887640496
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.98,4709.88,459.684288,459.684288,70.6482,306.1422,115.39206,78.654996,0.0,0.0,365.773991,1011.498539,844.481484,0.214761,0.1793,3698.381461,157.698654,3540.682807,5554.361484,1855.980023,2013.678677,True,1.5018357468235786,1.5687260866444797,48.0600000000004,37.73858599999994,32.76206900000034,56.67715800000042,18.938572000000022,23.91508900000008,0.785238992925502,0.6816909904286322,1.179299999999999,0.3940610070744874,0.49760900957136667
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,0.99,4757.94,464.374944,464.374944,71.3691,309.2661,116.56953,79.457598,0.0,0.0,369.506378,1021.819952,853.098642,0.21476099999999998,0.1793,3736.120048,162.675171,3573.444877,5611.038642,1874.918594,2037.593765,True,1.5018357468235786,1.5702043366715948,48.05999999999949,37.73858700000028,32.76206999999977,56.67715800000042,18.93857099999991,23.91508799999997,0.7852390137328481,0.6816910112359574,1.179300000000021,0.39406098626716834,0.4976089887640496
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.0,4806.0,469.0656,469.0656,72.09,312.39,117.747,80.2602,117.747,4.806,373.238766,1032.141366,984.2688,0.21476099999999995,0.20479999999999998,3773.858634,167.651688,3606.206946,5790.2688,2016.410166,2184.061854,False,1.534309936210504,1.6056396337494048,48.0600000000004,37.73858599999994,32.76206899999988,179.2301579999994,141.4915719999999,146.46808899999996,0.785238992925502,0.6816909904286228,3.7292999999999563,2.9440610070744637,3.047609009571343
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.01,4854.06,473.756256,473.756256,72.8109,315.5139,118.92447,81.062802,118.92447,4.85406,376.971154,1042.46278,994.111488,0.21476100000000004,0.2048,3811.59722,172.628205,3638.969015,5848.171488,2036.574268,2209.202473,False,1.5343099362105042,1.6070957084697068,48.0600000000004,37.73858599999994,32.76206900000034,57.902688000000126,20.164102000000184,25.140618999999788,0.785238992925502,0.6816909904286322,1.2047999999999925,0.41956100707449057,0.5231090095713603
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.02,4902.12,478.446912,478.446912,73.5318,318.6378,120.10194,81.865404,120.10194,4.90212,380.703541,1052.784193,1003.954176,0.214761,0.2048,3849.335807,177.604722,3671.731085,5906.074176,2056.738369,2234.343091,False,1.534309936210504,1.6085257987047497,48.05999999999949,37.738586999999825,32.76206999999977,57.902688000000126,20.164101000000073,25.14061800000036,0.7852390137328387,0.6816910112359574,1.2048000000000154,0.41956098626717203,0.523108988764058
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.03,4950.18,483.137568,483.137568,74.2527,321.7617,121.27941,82.668006,121.27941,4.95018,384.435929,1063.105607,1013.796864,0.21476100000000004,0.2048,3887.074393,182.581239,3704.493154,5963.976864,2076.902471,2259.48371,False,1.5343099362105042,1.6099305938650483,48.0600000000004,37.73858599999994,32.76206899999988,57.902688000000126,20.16410199999973,25.140618999999788,0.785238992925502,0.6816909904286228,1.2047999999999925,0.41956100707448113,0.5231090095713603
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.04,4998.24,487.828224,487.828224,74.9736,324.8856,122.45688,83.470608,122.45688,4.99824,388.168317,1073.427021,1023.639552,0.21476099999999998,0.2048,3924.812979,187.557756,3737.255224,6021.879552,2097.066573,2284.624328,False,1.534309936210504,1.6113107591866753,48.05999999999949,37.73858599999994,32.76207000000022,57.902688000000126,20.164102000000184,25.140617999999904,0.7852389929255169,0.6816910112359669,1.2048000000000154,0.4195610070744985,0.5231089887640485
