smic_multiple,rgdu_monthly_eur_may,rgdu_monthly_eur_june,delta_rgdu_eur
1.0,717.3,700.13,-17.16999999999996
1.01,724.47,689.6,-34.870000000000005
1.02,716.94,679.29,-37.65000000000009
1.03,706.52,669.21,-37.309999999999945
1.04,696.33,659.21,-37.120000000000005
1.05,686.19,649.47,-36.72000000000003
1.06,676.3,640.02,-36.27999999999997
1.07,666.68,630.48,-36.19999999999993
1.08,657.14,621.25,-35.889999999999986
1.09,647.71,612.14,-35.57000000000005
1.1,638.4,603.38,-35.01999999999998
1.11,629.4,594.57,-34.82999999999993
1.12,620.54,585.92,-34.620000000000005
1.13,611.83,577.43,-34.40000000000009
1.14,603.07,569.13,-33.940000000000055
1.15,594.68,561.03,-33.64999999999998
1.16,586.48,552.91,-33.57000000000005
1.17,578.25,545.01,-33.24000000000001
1.18,570.23,537.33,-32.89999999999998
1.19,562.19,529.67,-32.520000000000095
1.2,554.59,522.24,-32.35000000000002
1.21,546.79,514.85,-31.93999999999994
1.22,539.22,507.48,-31.74000000000001
1.23,531.89,500.39,-31.5
1.24,524.6,493.35,-31.25
1.25,517.57,486.36,-31.210000000000036
1.26,510.36,479.66,-30.69999999999999
1.27,503.42,473.04,-30.379999999999995
1.28,496.78,466.49,-30.289999999999964
1.29,489.97,460.02,-29.950000000000045
1.3,483.46,453.63,-29.829999999999984
1.31,476.79,447.34,-29.450000000000045
1.32,470.44,441.14,-29.30000000000001
1.33,464.18,435.05,-29.129999999999995
1.34,458.01,429.06,-28.94999999999999
1.35,451.7,423.19,-28.50999999999999
1.36,445.74,417.44,-28.30000000000001
1.37,439.88,411.81,-28.069999999999993
1.38,434.14,406.05,-28.089999999999975
1.39,428.27,400.69,-27.579999999999984
1.4,422.52,395.21,-27.310000000000002
1.41,417.16,389.87,-27.29000000000002
1.42,411.67,384.68,-26.99000000000001
1.43,406.07,379.38,-26.689999999999998
1.44,400.86,374.24,-26.620000000000005
1.45,395.55,369.26,-26.29000000000002
1.46,390.39,364.45,-25.939999999999998
1.47,385.38,359.53,-25.850000000000023
1.48,380.27,354.79,-25.47999999999996
1.49,375.32,349.96,-25.360000000000014
1.5,370.54,345.31,-25.230000000000018
1.51,365.66,340.84,-24.82000000000005
1.52,360.97,336.29,-24.680000000000007
1.53,356.45,331.93,-24.519999999999982
1.54,351.84,327.49,-24.349999999999966
1.55,347.14,323.25,-23.889999999999986
1.56,342.92,318.92,-24.0
1.57,338.33,314.81,-23.519999999999982
1.58,334.22,310.62,-23.600000000000023
1.59,329.75,306.65,-23.100000000000023
1.6,325.77,302.61,-23.159999999999968
1.61,321.42,298.49,-22.930000000000007
1.62,317.29,294.59,-22.700000000000045
1.63,313.37,290.93,-22.439999999999998
1.64,309.38,287.21,-22.170000000000016
1.65,305.62,283.41,-22.20999999999998
1.66,301.79,279.86,-21.930000000000007
1.67,297.89,276.25,-21.639999999999986
1.68,294.23,272.57,-21.660000000000025
1.69,290.5,269.14,-21.360000000000014
1.7,287.01,265.66,-21.349999999999966
1.71,283.46,262.43,-21.029999999999973
1.72,279.85,259.15,-20.700000000000045
1.73,276.49,255.81,-20.680000000000007
1.74,273.07,252.74,-20.329999999999984
1.75,269.59,249.29,-20.299999999999983
1.76,266.38,246.45,-19.930000000000007
1.77,263.11,243.22,-19.890000000000015
1.78,259.78,240.27,-19.509999999999962
1.79,256.73,237.28,-19.450000000000017
1.8,253.62,234.24,-19.379999999999995
1.81,250.46,231.48,-18.980000000000018
1.82,247.59,228.68,-18.909999999999997
1.83,244.33,225.84,-18.49000000000001
1.84,241.35,222.95,-18.400000000000006
1.85,238.67,220.36,-18.309999999999974
1.86,235.6,217.74,-17.859999999999985
1.87,232.82,215.07,-17.75
1.88,230.0,212.35,-17.650000000000006
1.89,227.48,209.96,-17.519999999999982
1.9,224.92,207.52,-17.399999999999977
1.91,221.97,205.05,-16.919999999999987
1.92,219.68,202.53,-17.150000000000006
1.93,216.99,199.99,-17.0
1.94,214.27,197.76,-16.51000000000002
1.95,211.86,195.51,-16.350000000000023
1.96,209.42,193.21,-16.20999999999998
1.97,206.94,190.89,-16.05000000000001
1.98,204.78,188.9,-15.879999999999995
1.99,202.23,186.51,-15.719999999999999
2.0,200.0,184.46,-15.539999999999992
2.01,197.74,182.38,-15.360000000000014
