country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,region_code,region_label_fr,region_label_en,smic_multiple,gross_monthly_eur,employee_ss_monthly_eur,employer_ss_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,irpf_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.8,1139.6,92.59,450.82,92.59,450.82,0.08124780624780624,0.39559494559494557,1047.01,0.0,1047.01,1590.42,543.41,543.41,1.5190112797394484,1.5190112797394484,,,,,,,,,,,
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.81,1153.845,92.59,450.82,92.59,450.82,0.08024474691141358,0.39071105737772405,1061.255,0.0,1061.255,1604.665,543.41,543.41,1.5120447017917464,1.5120447017917464,14.245000000000118,14.245000000000118,14.245000000000118,14.24499999999989,0.0,0.0,1.0,1.0,0.999999999999984,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.82,1168.09,92.59,450.82,92.59,450.82,0.07926615243688415,0.3859462883853128,1075.5,0.0,1075.5,1618.91,543.41,543.41,1.5052626685262667,1.5052626685262667,14.24499999999989,14.24499999999989,14.24499999999989,14.245000000000118,0.0,0.0,1.0,1.0,1.000000000000016,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.83,1182.335,92.59,450.82,92.59,450.82,0.07831113855210241,0.381296333103562,1089.745,0.0,1089.745,1633.155,543.41,543.41,1.49865794291325,1.49865794291325,14.245000000000118,14.24499999999989,14.24499999999989,14.24499999999989,0.0,0.0,0.999999999999984,0.999999999999984,0.999999999999984,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.84,1196.58,92.59,450.82,92.59,450.82,0.07737886309314881,0.37675709104280536,1103.99,0.0,1103.99,1647.4,543.41,543.41,1.4922236614462085,1.4922236614462085,14.24499999999989,14.245000000000118,14.245000000000118,14.245000000000118,0.0,0.0,1.000000000000016,1.000000000000016,1.000000000000016,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.85,1210.825,92.59,450.82,92.59,450.82,0.07646852352734705,0.37232465467759585,1118.235,0.0,1118.235,1661.645,543.41,543.41,1.4859533103506863,1.4859533103506863,14.245000000000118,14.24499999999989,14.24499999999989,14.24499999999989,0.0,0.0,0.999999999999984,0.999999999999984,0.999999999999984,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.86,1225.07,92.59,450.82,92.59,450.82,0.07557935464912209,0.36799529822785637,1132.48,0.0,1132.48,1675.89,543.41,543.41,1.479840703588584,1.479840703588584,14.24499999999989,14.245000000000118,14.245000000000118,14.245000000000118,0.0,0.0,1.000000000000016,1.000000000000016,1.000000000000016,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.87,1239.315,92.59,450.82,92.59,450.82,0.07471062643476437,0.36376546721374303,1146.725,0.0,1146.725,1690.135,543.41,543.41,1.4738799625019074,1.4738799625019074,14.245000000000118,14.24499999999989,14.24499999999989,14.24499999999989,0.0,0.0,0.999999999999984,0.999999999999984,0.999999999999984,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.88,1253.56,92.59,450.82,92.59,450.82,0.07386164204346023,0.3596317687226778,1160.97,0.0,1160.97,1704.38,543.41,543.41,1.468065496955132,1.468065496955132,14.24499999999989,14.245000000000118,14.245000000000118,14.245000000000118,0.0,0.0,1.000000000000016,1.000000000000016,1.000000000000016,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.89,1267.805,92.59,450.82,92.59,450.82,0.07303173595308426,0.35559096233253534,1175.215,0.0,1175.215,1718.625,543.41,543.41,1.4623919878490317,1.4623919878490317,14.245000000000118,14.24499999999989,14.24499999999989,14.24499999999989,0.0,0.0,0.999999999999984,0.999999999999984,0.999999999999984,0.0,0.0
