country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_sek,arbetsgivaravgifter_monthly_sek,grundavdrag_annual_sek,kommunalskatt_annual_sek,statlig_skatt_annual_sek,jobbskatteavdrag_annual_sek,employee_contributions_monthly_sek,employer_contributions_monthly_sek,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_sek,income_tax_monthly_sek,net_after_income_tax_monthly_sek,employer_cost_monthly_sek,social_wedge_monthly_sek,total_wedge_after_income_tax_monthly_sek,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_sek,delta_net_before_income_tax_monthly_sek,delta_net_after_income_tax_monthly_sek,delta_employer_cost_monthly_sek,delta_social_wedge_monthly_sek,delta_total_wedge_after_income_tax_monthly_sek,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.8,27576.0,8664.38,31000.0,91623.12,0.0,32693.0,0.0,8664.38,0.0,0.31420002901073396,27576.0,4910.84,22665.16,36240.38,8664.38,13575.22,1.3142000290107339,1.5989465770371794,,,,,,,,,,,
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.81,27920.7,8772.68,30500.0,93039.54,0.0,33143.0,0.0,8772.68,0.0,0.31419985888605945,27920.7,4991.38,22929.32,36693.38,8772.68,13764.06,1.3141998588860595,1.6002820842484646,344.7000000000007,344.7000000000007,264.15999999999985,453.0,108.30000000000109,188.84000000000015,1.0,0.7663475485929774,1.3141862489120948,0.31418624891209995,0.5478387003191173
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.82,28265.4,8880.99,30100.0,94425.41,0.0,33563.0,0.0,8880.99,0.0,0.3142000467002059,28265.4,5071.87,23193.53,37146.39,8880.99,13952.86,1.314200046700206,1.601584148682844,344.7000000000007,344.7000000000007,264.2099999999991,453.01000000000204,108.30999999999949,188.8000000000011,1.0,0.7664926022628331,1.314215259646072,0.3142152596460669,0.5477226573832338
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.83,28610.1,8989.29,29700.0,95811.28,0.0,33990.0,0.0,8989.29,0.0,0.31419988046179503,28610.1,5151.77,23458.33,37599.39,8989.29,14141.06,1.314199880461795,1.6028161424960772,344.6999999999971,344.6999999999971,264.8000000000029,453.0,108.30000000000109,188.1999999999989,1.0,0.7682042355671748,1.3141862489121086,0.3141862489121033,0.5459820133449391
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.84,28954.8,9097.6,29300.0,97197.15,0.0,34410.0,0.0,9097.6,0.0,0.31420006354732205,28954.8,5232.26,23722.54,38052.4,9097.6,14329.86,1.314200063547322,1.6040609479423367,344.7000000000007,344.7000000000007,264.2099999999991,453.01000000000204,108.30999999999949,188.8000000000011,1.0,0.7664926022628331,1.314215259646072,0.3142152596460669,0.5477226573832338
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.85,29299.5,9205.9,28900.0,98583.02,0.0,34830.0,0.0,9205.9,0.0,0.31419990102220174,29299.5,5312.75,23986.75,38505.4,9205.9,14518.65,1.3141999010222019,1.6052779138482705,344.7000000000007,344.7000000000007,264.2099999999991,453.0,108.29999999999927,188.78999999999905,1.0,0.7664926022628331,1.3141862489120948,0.3141862489120947,0.5476936466492563
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.86,29644.2,9314.21,28500.0,99968.89,0.0,35258.0,0.0,9314.21,0.0,0.31420007961085133,29644.2,5392.57,24251.63,38958.41,9314.21,14706.78,1.3142000796108515,1.6064243929170947,344.7000000000007,344.7000000000007,264.880000000001,453.01000000000204,108.30999999999949,188.13000000000102,1.0,0.7684363214389337,1.314215259646072,0.3142152596460669,0.5457789382071384
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.87,29988.9,9422.51,28100.0,101354.76,0.0,35678.0,0.0,9422.51,0.0,0.31419992063730245,29988.9,5473.06,24515.84,39411.41,9422.51,14895.57,1.3141999206373025,1.6075896236881952,344.7000000000007,344.7000000000007,264.2099999999991,453.0,108.30000000000109,188.78999999999905,1.0,0.7664926022628331,1.3141862489120948,0.31418624891209995,0.5476936466492563
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.88,30333.6,9530.82,27600.0,102771.18,0.0,36134.0,0.0,9530.82,0.0,0.3142000949442203,30333.6,5553.1,24780.5,39864.42,9530.82,15083.92,1.3142000949442203,1.6087011965053166,344.6999999999971,344.6999999999971,264.65999999999985,453.00999999999476,108.30999999999949,188.35000000000036,1.0,0.7677980852915639,1.314215259646065,0.3142152596460702,0.5464171743545169
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),0.89,30678.3,9639.12,27200.0,104157.05,0.0,36554.0,0.0,9639.12,0.0,0.3141999393708257,30678.3,5633.59,25044.71,40317.42,9639.12,15272.71,1.3141999393708257,1.6098178018431837,344.7000000000007,344.7000000000007,264.2099999999991,453.0,108.30000000000109,188.78999999999905,1.0,0.7664926022628331,1.3141862489120948,0.31418624891209995,0.5476936466492563
