country,country_code,module_version,currency,canton_code,canton_name_fr,canton_name_en,reference_municipality,gross_monthly_chf,gross_annual_chf,employee_ahv_iv_eo_monthly_chf,employee_unemployment_monthly_chf,employee_lpp_monthly_chf,employee_accident_monthly_chf,employee_total_contrib_monthly_chf,employer_ahv_iv_eo_monthly_chf,employer_unemployment_monthly_chf,employer_lpp_monthly_chf,employer_accident_monthly_chf,employer_total_contrib_monthly_chf,net_before_tax_monthly_chf,withholding_tax_monthly_chf,withholding_tax_rate_percent,net_after_tax_monthly_chf,ordinary_federal_tax_monthly_chf,ordinary_cantonal_tax_monthly_chf,ordinary_communal_tax_monthly_chf,ordinary_tax_monthly_chf,net_after_ordinary_tax_monthly_chf,employer_cost_monthly_chf,social_wedge_monthly_chf,total_wedge_after_tax_monthly_chf,total_wedge_after_ordinary_tax_monthly_chf,employee_contribution_rate,employer_contribution_rate,social_wedge_rate_employer_cost,cost_to_net_before_tax_ratio,cost_to_net_after_tax_ratio,cost_to_net_after_ordinary_tax_ratio,withholding_tax_status,ordinary_tax_status,profile_id
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3000.0,36000.0,159.0,33.0,39.75,36.0,267.75,159.0,33.0,39.75,15.0,246.75,2732.25,79.5,2.65,2652.75,13.6,90.17,112.95,216.72,2515.53,3246.75,514.5,594.0,731.22,0.08925,0.08225,0.15846616,1.18830634,1.22391858,1.29068228,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3100.0,37200.0,164.3,34.1,44.75,37.2,280.35,164.3,34.1,44.75,15.5,258.65,2819.65,86.8,2.8,2732.85,14.48,95.87,120.09,230.45,2589.2,3358.65,539.0,625.8,769.45,0.09043548,0.08343548,0.16048115,1.19115848,1.22899171,1.29717673,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3200.0,38400.0,169.6,35.2,49.75,38.4,292.95,169.6,35.2,49.75,16.0,270.55,2907.05,95.04,2.97,2812.01,15.36,101.57,127.23,244.16,2662.89,3470.55,563.5,658.54,807.66,0.09154687,0.08454688,0.1623662,1.19383912,1.23418836,1.30330205,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3300.0,39600.0,174.9,36.3,54.75,39.6,305.55,174.9,36.3,54.75,16.5,282.45,2994.45,102.3,3.1,2892.15,16.24,107.27,134.37,257.88,2736.57,3582.45,588.0,690.3,845.88,0.09259091,0.08559091,0.16413348,1.19636327,1.23868057,1.30910227,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3400.0,40800.0,180.2,37.4,59.75,40.8,318.15,180.2,37.4,59.75,17.0,294.35,3081.85,110.84,3.26,2971.01,17.12,112.97,141.51,271.6,2810.25,3694.35,612.5,723.34,884.1,0.09357353,0.08657353,0.16579371,1.19874426,1.24346603,1.31459835,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3500.0,42000.0,185.5,38.5,64.75,42.0,330.75,185.5,38.5,64.75,17.5,306.25,3169.25,120.75,3.45,3048.5,18.0,118.67,148.65,285.32,2883.93,3806.25,637.0,757.75,922.32,0.0945,0.0875,0.16735632,1.20099393,1.24856487,1.31981359,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3600.0,43200.0,190.8,39.6,69.75,43.2,343.35,190.8,39.6,69.75,18.0,318.15,3256.65,129.96,3.61,3126.69,18.88,124.37,155.79,299.05,2957.6,3918.15,661.5,791.46,960.55,0.095375,0.088375,0.16882968,1.20312284,1.25313031,1.32477346,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3700.0,44400.0,196.1,40.7,74.75,44.4,355.95,196.1,40.7,74.75,18.5,330.05,3344.05,139.12,3.76,3204.93,21.08,130.07,162.93,314.09,3029.96,4030.05,686.0,825.12,1000.09,0.0962027,0.0892027,0.17022121,1.20514047,1.25745336,1.33006706,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3800.0,45600.0,201.4,41.8,79.75,45.6,368.55,201.4,41.8,79.75,19.0,341.95,3431.45,149.34,3.93,3282.11,23.72,135.77,170.07,329.56,3101.89,4141.95,710.5,859.84,1040.06,0.09698684,0.08998684,0.17153756,1.20705533,1.26197781,1.3352988,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,3900.0,46800.0,206.7,42.9,84.75,46.8,381.15,206.7,42.9,84.75,19.5,353.85,3518.85,158.34,4.06,3360.51,26.36,142.34,178.3,347.01,3171.84,4253.85,735.0,893.34,1082.01,0.09773077,0.09073077,0.17278465,1.20887506,1.26583465,1.34113007,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4000.0,48000.0,212.0,44.0,89.75,48.0,393.75,212.0,44.0,89.75,20.0,365.75,3606.25,167.6,4.19,3438.65,29.0,148.99,186.63,364.62,3241.63,4365.75,759.5,927.1,1124.12,0.0984375,0.0914375,0.17396782,1.21060659,1.26961162,1.34677616,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4100.0,49200.0,217.3,45.1,94.75,49.2,406.35,217.3,45.1,94.75,20.5,377.65,3693.65,177.53,4.33,3516.12,31.64,155.64,194.96,382.25,3311.4,4477.65,784.0,961.53,1166.25,0.09910976,0.09210976,0.17509185,1.21225617,1.27346336,1.35219243,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4200.0,50400.0,222.6,46.2,99.75,50.4,418.95,222.6,46.2,99.75,21.0,389.55,3781.05,186.9,4.45,3594.15,34.28,162.29,203.29,399.87,3381.18,4589.55,808.5,995.4,1208.37,0.09975,0.09275,0.17616106,1.21382949,1.27695004,1.35738115,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4300.0,51600.0,227.9,47.3,104.75,51.6,431.55,227.9,47.3,104.75,21.5,401.45,3868.45,196.08,4.56,3672.37,36.92,168.94,211.62,417.48,3450.97,4701.45,833.0,1029.08,1250.48,0.10036047,0.09336047,0.17717938,1.21533172,1.28022231,1.36235609,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4400.0,52800.0,233.2,48.4,109.75,52.8,444.15,233.2,48.4,109.75,22.0,413.35,3955.85,208.12,4.73,3747.73,39.56,175.59,219.95,435.11,3520.74,4813.35,857.5,1065.62,1292.61,0.10094318,0.09394318,0.17815035,1.21676757,1.28433745,1.36714157,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4500.0,54000.0,238.5,49.5,114.75,54.0,456.75,238.5,49.5,114.75,22.5,425.25,4043.25,219.15,4.87,3824.1,42.2,182.24,228.28,452.72,3590.53,4925.25,882.0,1101.15,1334.72,0.1015,0.0945,0.1790772,1.21814135,1.28795011,1.37173342,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
