country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_gbp,employee_ni_monthly_gbp,employer_ni_monthly_gbp,employee_pension_monthly_gbp,employer_pension_monthly_gbp,employee_contributions_monthly_gbp,employer_contributions_monthly_gbp,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_gbp,personal_allowance_annual_gbp,annual_taxable_income_gbp,income_tax_monthly_gbp,net_after_income_tax_monthly_gbp,employer_cost_monthly_gbp,social_wedge_monthly_gbp,total_wedge_after_income_tax_monthly_gbp,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_gbp,delta_net_before_income_tax_monthly_gbp,delta_net_after_income_tax_monthly_gbp,delta_employer_cost_monthly_gbp,delta_social_wedge_monthly_gbp,delta_total_wedge_after_income_tax_monthly_gbp,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.8,1652.304,48.38,185.35,56.62,33.97,105.0,219.32,0.06354762803939226,0.132735864586662,1547.304,12570.0,6578.22,109.64,1437.664,1871.624,324.32,433.96,1.2096032841639393,1.3018507801544728,,,,,,,,,,,
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.81,1672.9578,50.04,188.44,57.65,34.59,107.69,223.03,0.06437101999823307,0.13331477936861288,1565.2678,12570.0,6813.74,113.56,1451.7078,1895.9878,330.72,444.28,1.2112865287332941,1.3060395487301233,20.65379999999982,17.963799999999992,14.04379999999992,24.363800000000083,6.400000000000034,10.319999999999993,0.8697576232945099,0.6799620408835199,1.1796279619246965,0.3098703386301838,0.49966592104116836
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.82,1693.6116,51.69,191.54,58.68,35.21,110.37,226.75,0.06516842468485691,0.1338854788193468,1583.2416,12570.0,7049.15,117.49,1465.7516,1920.3616,337.12,454.61,1.2129302312420291,1.3101548720806446,20.653800000000047,17.973799999999983,14.043800000000147,24.373799999999846,6.399999999999977,10.330000000000041,0.8702417956986096,0.6799620408835234,1.1801121343287817,0.30987033863017766,0.5001500934452748
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.83,1714.2654,53.34,194.64,59.71,35.83,113.05,230.47,0.06594661480071873,0.13444242647608706,1601.2154,12570.0,7284.68,121.41,1479.8054,1944.7354,343.52,464.93,1.2145370323068339,1.314183202737333,20.653800000000047,17.973799999999983,14.05379999999991,24.373800000000074,6.399999999999977,10.319999999999993,0.8702417956986096,0.6804462132876216,1.1801121343287928,0.30987033863017766,0.49966592104116286
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.84,1734.9192,54.99,197.74,60.75,36.45,115.74,234.19,0.06671204053768037,0.13498611347433356,1619.1792,12570.0,7520.09,125.34,1493.8392,1969.1092,349.93,475.27,1.2161156714463723,1.318153386254692,20.653800000000047,17.963799999999992,14.033799999999928,24.373800000000074,6.410000000000025,10.339999999999975,0.8697576232945003,0.6794778684794032,1.1801121343287928,0.3103545110342896,0.5006342658493813
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.85,1755.573,56.65,200.84,61.78,37.07,118.43,237.91,0.06745945625730175,0.13551700783732717,1637.143,12570.0,7755.5,129.26,1507.883,1993.483,356.34,485.6,1.2176596668708843,1.3220409010513416,20.653800000000047,17.963799999999992,14.043800000000147,24.373799999999846,6.409999999999968,10.330000000000041,0.8697576232945003,0.6799620408835234,1.1801121343287817,0.31035451103428685,0.5001500934452748
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.86,1776.2268,58.3,203.93,62.81,37.69,121.11,241.62,0.068183860304326,0.1360299259081104,1655.1168,12570.0,7991.02,133.18,1521.9368,2017.8468,362.73,495.91,1.2191567386664193,1.325841388420334,20.65379999999982,17.973799999999983,14.05379999999991,24.363800000000083,6.390000000000043,10.310000000000002,0.8702417956986191,0.6804462132876291,1.1796279619246965,0.30938616622607457,0.49918174863705916
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.87,1796.8806,59.95,207.03,63.84,38.31,123.79,245.34,0.068891611384752,0.1365366179589228,1673.0906,12570.0,8226.43,137.11,1535.9806,2042.2206,369.13,506.24,1.2206276217199474,1.3295874960920728,20.653800000000047,17.973799999999983,14.043800000000147,24.373800000000074,6.399999999999977,10.329999999999984,0.8702417956986096,0.6799620408835234,1.1801121343287928,0.30987033863017766,0.5001500934452721
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.88,1817.5344,61.6,210.13,64.88,38.93,126.48,249.06,0.06958877917248774,0.13703179428130768,1691.0544,12570.0,8461.84,141.03,1550.0244,2066.5944,375.54,516.57,1.2220744643105508,1.3332657214944488,20.653800000000047,17.963799999999992,14.04379999999992,24.373799999999846,6.410000000000025,10.330000000000041,0.8697576232945003,0.6799620408835123,1.1801121343287817,0.3103545110342896,0.5001500934452748
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_ruk,"Royaume-Uni · salarié standard, hors Écosse","United Kingdom · standard employee, outside Scotland",0.89,1838.1882,63.26,213.23,65.91,39.55,129.17,252.78,0.07027028026836424,0.13751584304588615,1709.0182,12570.0,8697.37,144.96,1564.0582,2090.9682,381.95,526.91,1.2234908908518354,1.336886440670814,20.653800000000047,17.963799999999992,14.033799999999928,24.373799999999846,6.409999999999968,10.339999999999918,0.8697576232945003,0.6794778684794032,1.1801121343287817,0.31035451103428685,0.5006342658493785
